REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-01-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.8,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.5,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.4,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,95.8,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.6,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,158.6,NA,NA,NA,1
2020-01-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,149.7,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.4,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,152.9,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.7,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,97.4,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.8,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,156.6,NA,NA,NA,1
2020-02-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,150.8,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.6,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,152.8,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.5,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,99,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.6,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,140.6,NA,NA,NA,1
2020-03-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.1,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,135.7,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,154,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.2,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.7,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,128.3,NA,NA,NA,1
2020-04-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.1,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.1,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,154.3,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,145.6,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,91.5,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.4,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,137,NA,NA,NA,1
2020-05-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.1,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.2,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,154.8,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.4,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.4,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.3,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,146.2,NA,NA,NA,1
2020-06-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.6,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.2,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,155,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.4,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.1,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,128.8,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.7,NA,NA,NA,1
2020-07-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.5,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.8,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,146.8,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.5,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,129.6,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.3,NA,NA,NA,1
2020-08-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.6,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,136.9,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,152.6,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,147.3,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,94.5,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,129.8,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.8,NA,NA,NA,1
2020-09-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.5,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.5,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.3,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,148.3,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,95.4,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130.2,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.4,NA,NA,NA,1
2020-10-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,151.9,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.7,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.9,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,148.7,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,96.2,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130.6,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,149.1,NA,NA,NA,1
2020-11-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,152.1,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,137.4,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,153.6,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,148.7,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.1,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,152,NA,NA,NA,1
2020-12-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,152.1,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,138.2,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,155,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,148.4,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,91.9,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130.3,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,154.3,NA,NA,NA,1
2021-01-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,152.5,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,138.9,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,155.6,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,148.8,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.7,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130.5,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,160.4,NA,NA,NA,1
2021-02-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,152.6,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,139.6,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,155.5,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,150,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.7,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,130.5,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,167.4,NA,NA,NA,1
2021-03-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,152.9,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,140.3,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,155.4,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,150.7,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,94.9,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,132.5,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,170.2,NA,NA,NA,1
2021-04-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,153.7,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,141,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,156.6,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,151.7,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,95.1,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,132.4,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,173.2,NA,NA,NA,1
2021-05-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,154,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,141.4,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,156.8,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,152.8,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.4,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,132.6,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,174.7,NA,NA,NA,1
2021-06-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,154.6,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,142.3,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,157.6,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,153.5,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,133.4,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,179.2,NA,NA,NA,1
2021-07-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,155.4,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,142.6,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,158,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,153.9,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.3,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,133.3,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,180.2,NA,NA,NA,1
2021-08-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,155.7,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,142.9,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,158.5,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,154.4,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,94.7,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,133.7,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,179.9,NA,NA,NA,1
2021-09-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,156.1,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,143.9,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,159.2,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,155.4,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,96,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,133.9,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,187.5,NA,NA,NA,1
2021-10-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,156.7,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,144.2,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,160.7,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,155.9,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,96.9,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,134.1,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,188.4,NA,NA,NA,1
2021-11-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,156.5,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,144,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,161.6,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,156.8,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.1,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,133.4,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,184.2,NA,NA,NA,1
2021-12-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,157.2,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,145.3,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,163.9,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,157.6,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,93.4,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,134.1,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,190,NA,NA,NA,1
2022-01-01,Canada,2016A000011124,Services,2002=100,17,units,0,v41691230,2.282,157.7,NA,NA,NA,1
